,n,k,seed,SCOPE_accuracy,SCOPE_time
0,100,40,0,0.7,0.3261995315551758
1,100,40,1,0.875,0.2247936725616455
2,100,40,2,0.8,0.41959047317504883
3,100,40,3,0.575,0.20358037948608398
4,100,40,4,0.575,0.23878264427185059
5,100,40,5,0.775,0.3392350673675537
6,100,40,6,0.75,0.32817602157592773
7,100,40,7,0.675,0.29076552391052246
8,100,40,8,0.625,0.3373868465423584
9,100,40,9,0.575,0.26694536209106445
10,200,40,10,0.75,0.5609636306762695
11,200,40,11,0.975,0.6456706523895264
12,200,40,12,0.675,0.3057413101196289
13,200,40,13,0.575,0.5144519805908203
14,200,40,14,0.85,0.7971608638763428
15,200,40,15,0.5,0.4038517475128174
16,200,40,16,0.875,0.7484011650085449
17,200,40,17,0.85,0.627044677734375
18,200,40,18,0.6,0.5299971103668213
19,200,40,19,0.825,0.5883514881134033
20,300,40,20,0.65,1.098802089691162
21,300,40,21,0.95,0.7543916702270508
22,300,40,22,0.975,0.8061814308166504
23,300,40,23,1.0,1.1509602069854736
24,300,40,24,0.8,1.1427030563354492
25,300,40,25,0.925,0.8175530433654785
26,300,40,26,0.95,0.816476583480835
27,300,40,27,0.975,0.6399538516998291
28,300,40,28,0.975,0.8989541530609131
29,300,40,29,0.925,0.5837132930755615
30,400,40,30,1.0,1.6112854480743408
31,400,40,31,0.925,0.6337568759918213
32,400,40,32,0.95,0.6949834823608398
33,400,40,33,0.925,0.8575084209442139
34,400,40,34,0.775,0.6490514278411865
35,400,40,35,0.875,1.3957130908966064
36,400,40,36,0.975,1.0039310455322266
37,400,40,37,0.45,1.27400803565979
38,400,40,38,0.85,2.319366693496704
39,400,40,39,0.65,0.6855385303497314
40,500,40,40,0.95,1.1291203498840332
41,500,40,41,0.725,1.2550110816955566
42,500,40,42,0.975,1.1405010223388672
43,500,40,43,0.975,1.779888391494751
44,500,40,44,0.975,1.529886245727539
45,500,40,45,0.95,1.4768776893615723
46,500,40,46,0.95,1.43404221534729
47,500,40,47,0.3,1.4967970848083496
48,500,40,48,0.975,1.0302793979644775
49,500,40,49,1.0,1.1354613304138184
50,600,40,50,0.975,1.1417043209075928
51,600,40,51,0.6,0.9278709888458252
52,600,40,52,0.925,1.7160227298736572
53,600,40,53,0.925,2.303603172302246
54,600,40,54,0.825,1.2340080738067627
55,600,40,55,0.675,0.6556639671325684
56,600,40,56,0.375,0.926774263381958
57,600,40,57,0.975,3.6352062225341797
58,600,40,58,0.975,2.297144889831543
59,600,40,59,0.95,1.974820852279663
60,700,40,60,0.35,1.3445937633514404
61,700,40,61,1.0,2.256215810775757
62,700,40,62,0.925,1.7822089195251465
63,700,40,63,0.35,0.581657886505127
64,700,40,64,1.0,2.0772926807403564
65,700,40,65,0.225,0.48845648765563965
66,700,40,66,1.0,1.673813819885254
67,700,40,67,1.0,1.921617031097412
68,700,40,68,0.9,2.9657022953033447
69,700,40,69,0.4,0.4777944087982178
70,800,40,70,0.95,1.7899396419525146
71,800,40,71,1.0,1.7933149337768555
72,800,40,72,0.65,1.7673118114471436
73,800,40,73,1.0,3.3319907188415527
74,800,40,74,1.0,1.7494938373565674
75,800,40,75,0.35,1.2693538665771484
76,800,40,76,0.55,1.5149903297424316
77,800,40,77,1.0,1.5361952781677246
78,800,40,78,0.95,3.588799238204956
79,800,40,79,0.875,2.0363192558288574
80,900,40,80,1.0,3.4022891521453857
81,900,40,81,1.0,2.2679035663604736
82,900,40,82,0.325,1.0755925178527832
83,900,40,83,1.0,3.5260980129241943
84,900,40,84,1.0,3.1790084838867188
85,900,40,85,1.0,1.7017204761505127
86,900,40,86,1.0,4.473320007324219
87,900,40,87,1.0,2.164395570755005
88,900,40,88,0.65,2.1843888759613037
89,900,40,89,1.0,2.7976412773132324
90,1000,40,90,1.0,2.7670977115631104
91,1000,40,91,1.0,1.9672629833221436
92,1000,40,92,0.875,3.3613977432250977
93,1000,40,93,0.65,1.803084135055542
94,1000,40,94,0.4,1.081111192703247
95,1000,40,95,1.0,2.988926649093628
96,1000,40,96,0.625,3.0705463886260986
97,1000,40,97,1.0,2.9537689685821533
98,1000,40,98,0.725,2.1341686248779297
99,1000,40,99,0.45,3.5068557262420654
